Pelicula,Terror,Accion,Comedia,Drama,Ficcion,Familiar,Romance,Fantasia,Musical,Animado,Documental,G,PG,PG-13,R,NC-17,Globo,Oscar,Razzie,A24,Paramount,Columbia,Universal,Fox,Sony,Warner,Sony,Walt Disney,Dreamworks,Marvel,Pixar,Lucasfilm,Lionsgate,Netflix,Disney,HBO,Paramount+,Amazon,Español,Ingles,Frances,Italiano,Japones,Chino,Coreano,Indu,Portugues,Ruso,Aleman
Dune: Part One,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
Dune: Part Two,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Star wars: Episodio IV - Una nueva esperanza,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
